Unnamed: 0	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
3511	minoxidil	9	Highly Effective	Mild Side Effects	hair loss	Regained hair growth. Minoxidil first increased hairloss (normal during the first weeks of using). New hair started to grow after around seven months. I have now regained my normal hairgrowth. The hairs itself have a slightly larger diameter and are bit more curled.	Slightly increased peachy hairgrowth on face. During first week of treatment I experienced a minor headache after application.	"""working great"""
84	methimazole	10	Highly Effective	No Side Effects	grave's disease	ALL SYMPTOMS SUBSIDED - SWOLLEN ANKLES, RESTLESS SLEEP, FEELING OVERHEATED/SENSITIVITY TO WARM TEMPERATURES, SHAKEY HANDS, SWOLLEN THYROID GLAND, HIGH THYROID LEVEL IN BLOOD TESTS, TIRED EYES, AND INCREASED APPETITE.	NONE.	"""A serious bout of autoimmune hyperthyroidism had me very sick; traditional docs wanted to use RAI, radiation to kill off the thyroid; fortunately I read up on some Japanese and European studies that showed tapazole/methimazole solves the problem without killing the victim-thyroid. I fired the docs, got new ones at a major medical center, and started tapazole therapy. It took a closely monitored, gradually reduced dosing over 10 months, but I got well thanks to this miracle medicine."""
3844	voltaren	5	Moderately Effective	No Side Effects	eryhema nodosum	Reduced pain caused by erythema, ability to carry out day to day activities without too much discomfort. Though tiredness was on of the side effects of the problem this could not be resolved with drugs, though blood tests did show whether the situation was improving or not.	None were experienced at the time. there are side affects, but as i didn't really take the drug unless i couldn't cope this did not really seem to affect me. I tried to deal with the pain so that i could monitor if i was beginning to feel better or not.	"""Not a bad anti-inflamatory. Better if taking it with a Vicodin or Percocet."""
3287	zoloft	6	Moderately Effective	No Side Effects	clinical depression	stopped circular thinking/anxiety.  Also allowed me to keep focused on tasks and what was going on around me.  eliminated suicidal thoughts and allowed me to be more positive.  Improved my relationship with others by allowing me to not be self focused and pay attention to the other person	none	just taking one pill per day at the same time (AM)
1306	zocor	1	Ineffective	Extremely Severe Side Effects	high colesterol	the treatment was to help lower my colesterol levels, i only took it for two weeks so i did not benefit from taken this treatment,	muscle pain, loss of mobility, depresion, headaches i was admitted to hospital with chest pains, thought to be heart problems, it was caused by the tightening of my chest muscles.	1 to be taken daily, i only took this medication for two weeks after which i stopped taking it, the side effects that i had been suffering then stopped.
3669	effexor-xr	3	Marginally Effective	Severe Side Effects	depression	some decreased depression but not as well as with wellbutrin	constipation, dizziness and elevated bp	had to stop the mediccine and go back to taking wellbutrin 300mg xl.  the side effect of going off of the effexor included a lot of dizziness
952	diovan	8	Considerably Effective	Moderate Side Effects	high blood pressure	I was able to reduce my dependence on Verapamil down to 240 mg. when I added the Diovan	There were many!  Enough that I stopped taking the Diovan and went back to the higher dose of Verapamil...  I am over 50 and menopausal so weight gain is an issue anyway.  Diovan causes substantial increase in hunger.  Substantial.  Not just an urge to eat but hungry to the point of discomfort.  I tried eating carrots and celery, drinking lots of water and milk, but still I gained weight.  I also lost virtually ALL of my sex drive.	"""It has no side effect, I take it in combination of Bystolic 5 Mg and Fish Oil"""
1419	adipex-p	6	Marginally Effective	Severe Side Effects	weight loss	quick weight loss	dry mouth, nervous jittery feeling and shaky	"I found that the side effects were so bad that I could not function so I decided to try the Phentramin D since it is designed to have the same effects. I have lost 56 pounds in four months and have never found anything better.
http://www.slimEffects.com"
423	imitrex	8	Highly Effective	Mild Side Effects	migraines	Relieves a migraine 8 out of 10 times.	Strange tingling sensations, a 'floaty' feeling, occasional stomach ache	Sometimes it makes me feel really weird for awhile afterwards, but it is worth it to calm the pounding in my head. I've had migraines since kindergarten and only recently discovered Imitrex. I never knew there was actually a pill that would take away a migraine. I think they cause rebound headaches, and they're ridiculously expensive, but it's more than worth it in the moment.
209	elidel	8	Considerably Effective	Mild Side Effects	hypothryoid-related dry skin	Elidel reduced my dry skin by about 80-85%. It increased exfoliation, which is very slowed down in hypothyroid-related dry skin, got rid of many of the blocked pores due to poor exfoliation, and stopped the vast majority of the flaking, burning, and redness I had suffered from before I used it.	The first week I used Elidel I got some flu-like symptoms, as warned on the package insert. It stands to reason that Elidel would make one very sun-sensitive, as it shuts down the skin's immune system; I didn't have a problem with this, as I always wore sunscreen, but it made me nervous. As I understand it, Elidel isn't formulated to help the skin help itself; instead it just shuts off the skin's erroneous response. For some skin conditions, this is sufficient, but it wasn't for me.	After washing my face with gentle cleanser, I applied a small amount of Elidel to my entire face, before following up with a moisturizer (or two), then sunscreen.
220	wellbutrin-xl	9	Highly Effective	Moderate Side Effects	depression	Remarkable improvement in productivity (no down time) and feeling of well-being.	Constipation, sleeplessness	"Treatment started at 150 mg, which showed some improvement
At 300 mg the improvement showed more dramatic results
Before treatment: periods of deep depression, confusion, feeling of helplessness, unability to go to work.
After treatment: remarkably fewer periods of light depression, able to work."
2886	avita	9	Highly Effective	No Side Effects	skin aging/sun damage	Within 4 days my skin became visibly smoother, pore size was markedly reduced very quickly and after just a few weeks there was increased firmness and generally younger looking skin. Crows feet and forehead lines also diminshed. Skin strength was greatly improved and I did not need to where make-up to hide imperfections as much, my skin looked more polished.		A dermatologist prescribed Retinova and told me that the longer I used it, the better the results would be. This proved to be correct. He told me to mix a pea sized portion with my usual moisturiser but to only use it once a day, I used it at night. He also stipulated that it was very important to use an effective sun block as Retinova increased sensitivity to sunlight. A number of people commented on the improvement in my skin. After about 12 months a large, brown patch of sun damage on my temple flaked off and didn't come back. I was very disappointed when I went to get my usual 3 month prescription and was told that Retinova was no longer available. I have subsequently used Retin-A but without the same visible results. This wasn't prescribed by the original dermaltologist, he didn't believe Retin-A was suitable for what I wanted to achieve for my skin. Over the counter products containing retinol do help smoothness a little, but nothing compared to the dramatic changes I experienced when I used Retinova. What amazed me the most was how quickly some of the changes occurred, within only a matter of days.
3570	differin	7	Moderately Effective	Mild Side Effects	acne	The treatment easy and convenient and effective for skin turnover to prevent acne.	Differin was drying and particularly the 3% solution.	You are to apply nightly to acne spots but I found it worked better as a preventive measure all over face once your face is used to the drying. Differin worsens any open wounds but is a great preventive measure
2985	strattera	8	Considerably Effective	Mild Side Effects	add	Greater focus, stronger commitment, lessened stress, improved self-confidence, goal setting, less depressed, better organization and memory (as in remembering events), clearer in thought and expression thereof.	Lower regard for self-value, naturally depressive concepts seem less far-fetched, appear less happy.	"With or without this medication I am a philosopher. So I will be explain how the drug works on me from a philosophical assessment.

Background:
I had taken Strattera for three years (2005-2007) where it helped control ADD where I had difficulty doing so. It helped me focus, stay organized, manage relations, and most or all of the benefits I listed prior. I dropped the drug for 3 years so that I may learn how to control my ADD without the help of medication. During those three years I gained remarkable self control in overcoming ADD. However, I got to the point where I couldn't win over ADD, which was losing focus randomly. During college lectures that I found very intriguing I would often zone out/space out when I could not have been more interested in what was being professed. The frustration of this led me to conclude that medical assistance was the best choice.

On the drug:
I read and understand that the (generally) biggest con--side effect--to this drug is that there is some sort of depressive or suicidal figure involved. From an evaluative standpoint of myself, I've concluded that my desire for happiness is lowered from where it was prior to the drug. In other words, if I felt a need for a happiness at a 9th strength before, I now had the need for happiness at a 5th strength. Since happiness, to me and most I'd say, is the driving force for existence in life, a lessened desire for it would lead to two results. Lessened feeling for the needing to exist/live and feeling less depressed (because I now do not need to be happy as much as before).

Understand that this drug does not control me, I control this drug. I suggest that while you take the medication you assert a greater self-awareness. As you examine how it affects you, you can understand when you are thinking naturally or by the drug."
2346	propecia	1	Considerably Effective	Extremely Severe Side Effects	hair loss	Hair Regrowth	"I experienced extreme fatigue, anxiety, depression, gynecomastia, apathy, anorgasma, penile fibrosis, penile numbness, loss of nighttime erections and endless hormonal imbalances.	

I took this drug for 1 year and 4 months. The anxiety and depression affected me almost immediately although I was completely clueless as to the cause. I cycled through every single anti-depressant and ADHD medication trying to solve this problem. It wasn't until I stopped the medication that I realized it was the Propecia. THESE SIDE EFFECTS HAVE NOT SUBSIDED AT ALL SEVEN MONTHS LATER! I would not wish this on my worst enemy. This drug has literally destroyed my life. I know that no one wants to lose their hair and look unattractive, but just imagine how attractive you will be if you are one of the unfortunate few of us that gets gynecomastia, penile fibrosis, and inability to ejaculate (I CANNOT EVEN MASTRUBATE TO ORGASM after taking this drug). If you value your life then I strongly suggest you find some other way!"	"""Don&#039;t take this drug.  I used it for a few months and it killed my libido.  I did get some noticeable hair re-growth during that time, so at least that worked.  It became very hard to get an erection and I became completely disinterested in sex.

I&#039;ve read accounts that some people never regained their libido, and suffered lasting erectile dysfunction.

This is not natural.  Your libido is part of who you are, and so is hair loss.  Be a man and accept the loss of your hair as part of who you were meant to be."""
1684	claritin	2	Marginally Effective	Moderate Side Effects	seasonal allergies	reduction in allergy symptons-  less nasal congestion, and itchiness in eyes was reduced--	within 72 hours after starting the medication, realized I was experiencing progressively more intense lower back pain-lower back pain-- as though I was being punched in the kidneys- read the contraindictions which noted potential for back pain and made the ocnnection to the medication.	discontinued use and within 24 hours thew side effects were subsiding, and completely resolved within 3 days.
2059	prempro	10	Highly Effective	No Side Effects	migraines	Migraine problem: I now only have rare occurance of migraines, less than once a year.  Before Prepro treatment I had a migraines almost continuously, and took Frova at least twice a week. Potential benefits is prevention or delay of osteoporosis, since my mother had severe osteoporsis.	Increased risks for breast cancer and conditions caused by clots like strokes.	"""I am a 56 year old women in post-menopause. I have been suffering with hot flashes for 16 years and I finally decided that I cannot do this anymore.  I started Prempro two weeks ago and I am officially hot flash free and happier then I have been in years!  I cannot believe that it took me this many years to do this.  I was always scared of the risks involved.  I am so happy I made this decision because my life is now amazing.  I have not experienced and side affects at this point.  Hopefully that will continue."""
205	elidel	7	Considerably Effective	No Side Effects	skin rash	Easy to use, no scent, absorbed quickly, rash cleared up		Contact dermatitis due to detergent allergy on hands.  Wouldn't go away with over the counter medications.  Used Elidel twice daily for approx one week.  Used gloves on hands at night to increase effectiveness of the product.  No side effects, no odor.  non greasy.  Cleared up the condition nicely.
2981	strattera	7	Considerably Effective	Moderate Side Effects	adhd (predominantly inattentive)	"The ""head made of air"" feeling I tend to have goes away:I become more attentive, much more aware of my surroundings, feel much more grounded in the ""here/now"", and much better able to focus. My mind stops trying to jump from one subject to another every second; memory retention/recall improves DRAMATICALLY. I also find it FAR easier to fall asleep at night, seem to sleep better, and seem to be far more emotionally stable. I also do not ""crash"" from it later in the day like my former (stimulant) meds. Also does not appear to be physically addictive."	Severe grogginess, often accompanied by lightheadedness, upset stomach/nausea - ALL aggravated by sleep loss or lack of food, become slightly less severe after I'd been on it again for a couple of weeks. Severe grogginess was slightly alleviated by caffeine (espresso) or some rest (nap) or both. Best solution appears to be to take the meds with or after food, and to attempt to get a decent amount of sleep. Also notice a certain level of dependence (NOT actual addiction though) - mostly due to return of symptoms in medication's absence. I may also have dry mouth, but I'm not sure if that's the meds or if I'm not drinking enough water.	"Best way I've discovered to eliminate the side effects is to eat a protein-rich breakfast (usually egg/ham/cheese sandwich for me), then WAIT for at least a few minutes -anywhere from 15 to 60 or more- before taking the medication. Seems to retain efficacy, COMPLETELY eliminate stomach problems and GREATLY reduce grogginess -though that also seems to be partly dependent on how much sleep I get (minimum of 6 hours, preferably 8 or 9). Now that I discovered this trick, I am feeling MUCH better and no longer considering abandoning the medication! I like that it helps with sleeping quality on top of helping me focus, remember, and feel more aware of surroundings. Would cry now if I had to go back to not using it - I almost can't function without medication, and the non-stimulant allows me to sleep SO much better and I do not ""crash"" from it!"
866	valium	9	Highly Effective	No Side Effects	muscle pain/spasms - legs	medication allowed the patient to relax and helped reduced pain in legs. This resulted in reduction of Restless Legs Syndrome and also allowed the patient to have a good nights sleep. Minimal soreness in legs next morning.	Slight groginess next morning.	"""I have a neuromuscular disorder and seizures, and muscle twitches, cramps, spasms, etc. Nothing helps me but valium. I am thankful my doctor was open to try it. My life is so much better now."""
1618	premarin	1	Ineffective	Extremely Severe Side Effects	menopause	there were no benefits. This drug had more bad side effects than good ones.  I will never try this again. there were no benefits. This drug had more bad side effects than good ones.  I will never try this again.	extreme weight gain and emotional distress.	"""I was given this to help with Vaginal Atrophy that resulted in painful UTI like symptoms and painful sex. By the third week I got limited relief from those symptoms, but had debilitating dizziness and horrible hot flashes. This stuff took me from having had a handful of hot flashes in my entire life to 5 or 6 a night. Not taking it any more."""
1364	permapen	1	Ineffective	No Side Effects	viral bronchitis	Absolutely no benefits, did not seem to get better even in a week.  Through research I learned that penicillin does not treat a virus and that a virus must run its course.  No idea why my doctor precribed Penicillin.  Would rather he had been on the up and up about it instead of precribing a worthless treatment.	No side effects at all, just took an antibiotic I did not need and do not see any health benefit in that at all	Doctor diagnosed me with Viral Bronchitis after and xray.  He then prescribed Penicillin to treat it.  Worthless treatment, since Penicillin is totally ineffective to fight a virus.
1278	provigil	7	Moderately Effective	Mild Side Effects	fatigue not being able to get up in am	When I started first taking it it was great. I would get up in the am no brain fog, and could work the whole day not being tired. By night time though I was exhausted. After a month or so I still get up early but by afternoon I am so tired I usually try to take a nap or just keep going and eventually it will get better. I have not tried taking another in the afternoon. I have tried to up the dose in the am with no difference.	I am not sure if this is from the provigil or not but I have started having major breathing issues. I have had this a long time ago but started taking celexa for it and it worked. Now I am taking klonopin for it sometimes it works sometimes not. I wonder if it is being caused from the provigil.	I just take one 200mg every morning when I get up. If I do not take it I thought is why I would be so sleepy during the day. But now I get sleepy anyway. But the waking up early is great were as I could not get up before.
2977	strattera	8	Considerably Effective	Moderate Side Effects	add	Treatment benefits include improved attention to task, improvement in work quality and quantity. Impulsivity was greatly reduced, resulting in a calmer more productive day. Social relationships with co-workers and others were markedly improved. Social relationships with extended family members were also improved. As a result there was a marked improvement in self esteem and confidence levels both at work and at home.	There wer few side effects.  I experienced intermittent episodes of dry mouth that interferes when during public speaking, speaking at meetings and in social situations.  This can be resolved with small candies, however, that resulted in tooth decay.  I am currently trying out a gel and mouthwash given to me by my dentist, however, I am not happy about putting these chemicals in my mouth.	"""I&#039;ve been on Strattera since 3rd grade. And I don&#039;t understand why so many people are against it. I have only experienced good results with this drug. My grades have increased, I am able to focus in class, and I can excel and prosper. My doctor has told me that eventually I will be weaned off of Strattera because my brain should be able to adapt. All I can say is. I never experienced any horrible side effects, if any. I can&#039;t say I remember any side effects. And I know that it is not addictive since I am able to stop taking the drug during the summer time. I&#039;ve had a moderately positive experience on Strattera. I hope everyone else does too."""
3348	lipitor	5	Moderately Effective	Moderate Side Effects	cholesterol	general gradual lowering of cholesterol levels over a period of twelve months	mild eye irritatation that gradully got worse over the period of 12 months	"""I am 65 and active, to include hiking, walking in the gym yard work, etc.. Been on 10 mg of Lipitor or generic for 20 years.  Within the past 2 years I have experienced increased lower leg discomfort and within the past year what appears to be lower leg muscle loss, chronic plantar fascia, leg muscle tingling, and a feeling of weakness in my lower legs.  My primary care doc, who is Lipitor intolerant, attributed it all to age, cervicle stenosis, etc.  Have quit Lipitor and Prylosec (been on this for 10 years) and will readdress with my doctor (who&#039;s an internal medicine doctor) when I can get in to see him again in 3 weeks.  Some remediation of mental fogginess which has plagued me recently, but to date no releaf on leg issues."""
581	acyclovir	10	Considerably Effective	Mild Side Effects	cold sores	My whole lip used to swell up and I would get over a dozen little pockets of fluid that would merge into one giant blister. Now, cold sores appear 1/2 as often as before - down to every other month at most. One or two little pockets of fluid usually appear without the unsightly swelling. The cold sore is dried up within 24 hrs. They became unnoticeable to everyone.	I had to take it with food or I would get a little upset stomach.	I have been taking Acyclovir daily for 1 year so far and will continue as long as my doctor allows me to.
2566	klonopin	8	Considerably Effective	Mild Side Effects	generalized anxiety disorder	Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid.	Fatigue can sometimes be excessive.  High dependency.	"""Also OCD/GAD/Tourettes. I am an addict. I was a Heroin user and have been abstained for nearly 10yrs. When I went to Federal Prison they took me off a combination that a very accredited Mental Health Team put in place. When I arrived I was stable. They DC&#039;d all meds cold turkey esp  60mg paxil and Klonopin. Months later I attempted Suicide on 3 different attempts. Swallowing 200 Tylenol, Cutting a main vein, and hanging myself which were no cry&#039;s for help. I had lost the will to live.  They put me on 600 pills/ mo instead of the right drug. I developed Seizures, something I never had. After years of reaching out I accomplished the anomaly, I was put back on. I send this from the ICU with Diverticulitis which is a direct result of Anxiety."""
663	erythromycin	2	Ineffective	Moderate Side Effects	bladder infection	none. I only took the prescription for 1 day	My entire body broke out in a red, itchy rash that was not relieved by scratching nor by topical agents. I reported the reaction to the pharmacist and to my doctor, both of whom told me to cease using the antibiotic immediately as continued use in the presence of the adverse reaction could be very dangerous.	"""I am taking LOFEPRAMINE and PERICYAZINE for mental health issues, and found that ERYTHROMYCIN , wiped out my mental health meds. It was as if I was not taking them, and I must now , NOT take  Erythromycin or any other MACROLIDES, this is the group of meds that Erythromycin belongs to. I found it hard to believe that an anti-biotic could cause such profound effects. I hope this review helps other people with m.h.issues. If in doubt Google it."""
3152	prednisone	5	Moderately Effective	Moderate Side Effects	pneumonia	decreased chest inflammation	temporary  jitters, insomnia, mild nausea	I became congested in the chest and started with over the counter Mucinex. I got worse in a few days and a fever started. I went to the emergency room and they used a large inhaler device which quickly cleared much of the congestion. After that, I took the antibiotic along with the prednisone, the portable inhaler and 1 months bed rest. I returned to work and stopped drinking coffee.
2807	wellbutrin	1	Ineffective	Extremely Severe Side Effects	depression	I didn't feel that there were any benefits. I initially started taking Wellbutrin because it was tauted as having little to no sexual side effects. I really was highly disappointed in the overall experience of this drug. I immediately switched back to Effexor.	After a couple of days of taking the drug, I started experiencing severe flash anger. The smallest nuisance would set me off. I remember actually throwing something across my dining room. It was awful. At that point I decided to no longer take the drug.	I am not certain what I should describe here. The treatment details were that I was prescribed a medication after having asked for it due to its advertised benefits and I never have been so disappointed in a medicine until this one. I am not certain if other people have had similar experiences or not, but it wasn't pleasant.
203	fosamax-plus-d	10	Highly Effective	No Side Effects	osteoporosis	Between 1998 and 2006, when I was going through menopause, my bone density went from normal to borderline osteoporosis, as shown by the results of two bone density tests given on those dates. After I received my bone density results in 2006, my physician put me on Fosamax, which I have taken regularly for the past two years.  When I took a bone density test recently in 2008, my bone mineral density had increased by almost 6% over a two-year period. I remain in the range of osteopenia, but am midway now between normal and osteoporosis in my T-scores.	I have experienced no adverse side effects at all while taking this medication.	I take a pill in the morning when I get up, once a week, on the same day each week.  I take it with an 8 ounce glass of water and do not lay down, eat, or drink anything for at least 30 minutes. I also take calcium/d vitamin supplements daily, eat plenty of dairy products, walk at least 3 times a week, and avoid alcohol and soft drinks.  I was already following these dietary habits when my previous bone density tests were done.  Because of that, I credit fosamax with the improvement  that has taken place.
2404	synthroid	10	Highly Effective	No Side Effects	hypothyroidism	"The treatment benefits were the initial complaint of monthly cycle depression and nervousness went from occurring for a ten to fourteen day period down to a two day  
time frame.  Monthly menstruation also occurred in a more timely fashion - every 28 days."	There were no treatment side effects.	Synthroid is taken first thing in the morning, on an empty stomach, with a large glass of water.  I wait four hours until I consume any type of calcium but I only wait one hour until I have all other kinds of food.
1034	vyvanse	8	Highly Effective	Mild Side Effects	adhd	Although I had mild sleep problems the first two days of taking Vyvanse, I had virtually no side effects. Granted, my dose was low, but I had a hard time concentrating and summoning up the energy to do basic things like paying bills, etc. Vyvanse is no wonder drug, but I live pretty much like everyone else now, which is great. My mother is stunned. She says this is the first time she's ever been able to ask me where things are in my apartment and have me know (and be right). I take a medication holiday from Vyvanse most weekends and actual work holidays when I don't need to be able to concentrate.	A little bit of sleeplessness at first. I take Vyvanse in the morning at around 5:30 to fix this. I just set my alarm, take the pill with a glass of water, and go back to sleep for an hour. I then wake up around 7 without any problems.	1 pill, 30 mg, Vyvanse, as needed. I never take more than the prescribed amount (not trying to get addicted, here). This treatment is concurrent with my ongoing treatment for chronic depression.
2828	singulair	8	Considerably Effective	No Side Effects	chronic cough and allergies	singulair dramatically reduced coughing spells and allergy symptoms, but if just one treatment was missed the allergy symptoms reaccured.	none	Take one 20 mg tablet each night before bedtime.
971	periogard	2	Ineffective	Moderate Side Effects	periodontal disease	None apparent during treatment.	Raised sores in mouth; attempted to mitigate side effect by rinsing only area with deepest periodontal pockets using syringe, continued to get sores localized to irrigated region.	Rinsed mouth vigorously with solution, refrained from eating, drinking, brushing, etc for 1/2 hour after use.  Used twice per day.  After side effects noted, irrigated only some areas of mouth.  Discontinued when sores persisted.
1663	climara	4	Marginally Effective	Severe Side Effects	menopause, memory loss, night sweats, low libido	nothing noticeable really, night sweats improved (slightly), memory, not as fuzzy	"Weight gain 4 lbs, my weight has  always been stable, bloatiness/gas (uncomfortable)
hair loss (more than usual and thinner), depression (crying for no reason)"	Change patch every 7 days. Very difficult keeping the patch on. I'm going to ask the Dr. for different type of patch. Heard Vivelle is smaller and stays on bettetr.
1262	provigil	10	Highly Effective	No Side Effects	primary hypersomnia	Increased alertness  throughout the day with increased sleep quality. I still have to take naps in my car on some days, but overall this medicine is working great for me.	There have been no side effects to date, and have been on the medication for 2 years	Diagnosed through sleep study with primary hypersomnia; sleep Dr. suggested Provigil instead of Ritalin. Has worked wonderfully.
4073	mobic	8	Marginally Effective	Severe Side Effects	plantar faciatis	It did help dull my foot pain.	Urinary Track Infection, Back Pain, and Insomnia	During the second week, I noticed I felt bad and drained.  By the beginning of the third week, I had a positive test for a urinary track infection.  I was given Cipro.  Three days into the Cipro, there was no change.  I also was waking up at odd times of the night, which is odd because the Lyrica puts me into a deep sleep.  I knew then that I was having side effects.  I looked on this site and read the clinical studies that listed all my issues.
1556	methotrexate	6	Moderately Effective	Moderate Side Effects	ra	Less pain in joints, better mobility.  Better able to perform tasks of daily living.  Less stiffness.	"Weight gain
Tired on the day I took methotrexate
Some nausea"	I am not especially pleased with the weight gain but I have to take something to control the RA.  I guess methotrexate works fairly well.
1250	catapres	7	Moderately Effective	No Side Effects	sleep disruption due to hotflashes at night	I am sleeping more deeply, especially during the first four or five hours after falling asleep.  I still have hot flashes during those hours, however I seem to be in a deeper state of sleep and during those hours I usually don't fully awake during the hot flash, as I used to do.  I used to be almost fully awake every time I experienced a hot flash (every 1 to 1.5 hours).  Now I get a few hours of fairly good sleep at the beginning of my sleep cycle.	There are no adverse side effects so far.  Some nights I don't sleep as deeply (as described above) during the first few hours of sleep.  I'm not sure what makes the difference from one night to the next-perhaps the amount of sleep I got in the few nights previous.	"""This does help a little but it doesn&#039;t take it all away."""
250	wellbutrin-xl	8	Considerably Effective	Mild Side Effects	depression	I had been on many different treatments for depression throughout most of my adult life and the side effects seamed to outweigh the benefits.  Since starting to take wellbutrin my sex drive returned, my ambition and motivation returned.  On my last medication I was going to sleep at 8 p.m and sleeping until morning then requiring a nap in the afternoon and now I sleep 7-8 hrs a night and have enough energy to get through most of my days.  I had a 5 lb weight loss in the beginning that I have maintained.  Over all I feel I am managing my depression better than I have at any time in the past.	Side effects in the beginning were a bit of anxiety that eventually past but recently I have been having trouble concentrating, my memory has been poor.  Generally I feel like my iq has dropped  I have also been very teary and find myself crying a fair amount over small incidences almost like I was pregnant.  None of this may have anything to do with the medication but I am concerned.	I went up to 450mg once a day but cut back to 300mg a day about 6-8 mnths ago and didn't find I was less able to cope with my depression. I do find that I feel depressed more often but I recognize the signs of the depression and use coping stragies to deal with what is happening.
1693	retin-a-micro	3	Ineffective	Mild Side Effects	acne	None that I had experienced.	Redness the first week.  Then acne got worse.	Decided to stop treatment after three months.  I was using it to get rid of small pimples on my forehead.  After using the product, I noticed I was getting bigger, and bigger pimples. So I stopped.
309	protopic	1	Ineffective	Extremely Severe Side Effects	undiagnosed	The ointment is easy to apply once the user realizes that the ointment is very thick, although Protopic on the face is ineffective or must be prescribed only for those conditions it has proven to resolve. In my case,  The rash continues to spread across the face.	A thin layer proved to result in dramatic itchiness in  those areas coated by Protopic ointment.	"""Used this for my eczema around my mouth, instant regret as soon as I applied it. Washed it off immediately but it continued to burn for 3 days. It was red in that area for a few days too. In the shower, and every time I breathed outta my nose the heat seemed to ignite the burning. It was torture!"""
683	accutane	6	Highly Effective	Moderate Side Effects	acne	immediately stopped getting acne.	red skin, dry skin	took pill every day and applied benzoil peroxide topically everyday for about six months.
609	minocin	5	Marginally Effective	Mild Side Effects	acne	It reduced the severity of acne eruptions.	Upset stomach; yeast infections	"""My son has been using this drug for about a month. He has had no side effects at all. His face has cleared up well from what it was. The acne hasn&#039;t totally gone but it&#039;s less severe now and not as red as it was."""
2325	lexapro	1	Ineffective	Extremely Severe Side Effects	anxiety depression	Absolutely none. This drug destroyed my marriage. I was so irrationally angry over really stupid stuff. I was raging at my husband for no reason. And it made our marriage crazy to the point that we separated and divorced. I have been told this drug does cause anger in perfectly normal people and that it is like being on speed or cocaine. I would pull this drug from the market.	Irrational Rage. It has nothing to do with my mental state but the fact that the drug does this to everyone. You have to let it build up in your system because your body is trying to reject a poison. You become addicted. No different than cocaine or speed freaks. It is such a lie.	"Once a day. I was drooling as I slept. When I could sleep. I was edgy all the time. I was in a brain fog. And nobody knew that I wasn't crazy. This damn drug was making me crazy. I told my stupid shrink that I needed to be calmer and he gave me speed. I told him I was getting irrationally upset and he doubled the dose. I have been seriously depressed and screwed up emotionally and physically for three years.  I want to sue the drug company.

All the other comments on this blog were written by drug reps."
2551	dexedrine	8	Considerably Effective	Moderate Side Effects	adhd	ability to concentrate and order thoughts, capacity to work effectively, organise home life, I was able to start tertiary study again and complete assignments and exams where I wasn't able to before due to concentration and motivation issues caused by my condition	clenching of jaw, loss of appetite at first, senses felt a bit strained at the end of the day, at times I felt a bit overwhelmed and heart would beat pretty fast - this was at least in part due to the medication,	"""I have used it for over 15 years.
An EEG showed I had quite a bit of extraneous thought, a left and right hemisphere that had identical thought processes and a temporal lobe that was off the chart.
Dexedrine changed my life.

Unfortunately many Doctors are using outdated/outmoded technology and refuse to prescribe it."""
28	alprazolam	10	Highly Effective	No Side Effects	anxiety	Anxiety greatly diminished shortly after taking alprazolam.  The alprazolam was also effective in calming the mind prior to sleep.  I have taken alprazolam for anxiety attacks, worrisome and obsessive thinking and in order to fall asleep.	I noticed no adverse side effects other than an occassional grogginess the next day after taking it at night.	The Doctor prescribed alprazolam for anxiety, taken daily every 8 hours or as needed to treat immediate symptoms.
3100	ortho-tri-cyclen	10	Highly Effective	No Side Effects	birth control	No undesired pregnancies, lighter period	none	One pill daily.
3941	prilosec	6	Highly Effective	Moderate Side Effects	heartburn	It reduced the amount of acid that my stomach produced and therefore allowed my stomach and esophagus to heal to some degree. I also took it for years to control my regular acid reflux problems.	I developed joint pains and arthritis as well as constipation, stomach aches, and overall reduced health.	Eventually my body was so used to the Prilosec that it was almost impossible to get off. My body was working very hard to produce enough acid for protein digestion that whenever I stopped taking Prilosec there would be a huge backlash of extreme acid production.
3338	clarithromycin	1	Marginally Effective	Severe Side Effects	strep throat	Immediately took the pain from the Strep away.	Terrible taste in mouth, 4 and a half hours of constant dry-heaving, painful and sudden headaches, body aches.	"""I have been on it for 10 days and don&#039;t feel any better. It gives me a metallic taste and heartburn. It also caused me to have vivid dreams and problems sleeping."""
3483	diazepam	5	Considerably Effective	Moderate Side Effects	sleep	Most often the diazepam got me to sleep fairly quickly but did not last the whole night through.  The liquid capsules were then superceded by tablets which usually took about twice as long to kick in.  ie, 40 mins instead of 20. The benefit was there if I was unable to sleep otherwise but a benzo sleep is not natural and feels different to real sleep.	Twitching nerves for several days afterward.  Difficulty sleeping.	"""Since beginning my dose of 10 mg of Diazepam 2x daily, my sleep is nowhere near restful. I have wild dreams, they feel very realistic and usually start well, but end in panic right before i wake up. This of course contributes to the giant versace bags under my eyes because I feel as if instead of sleeping, I just went through something crazy! At night, I take 10 mg 30 minutes before bed. Before that, iIfeel anxious, tense, and upset. I usually have to cancel plans with friends or loved ones because I can not get myself to put the effort in. Nights feel SO long and I used to love sleep, but now I almost want to avoid sleeping. overall, I&#039;m not seeing how Diazepam is better than Klonopin, if anything, it&#039;s worse."""
